text,label
Howdy Partner!,greeting
Hello,greeting
How are you doing?,greeting
Greetings!,greeting
How do you do?,greeting
Hi there!,greeting
Good day!,greeting
Hey!,greeting
What's up?,greeting
Nice to see you!,greeting
Hi! how are you?,greeting
Hola!,greeting
Good to meet you!,greeting
Hey! what's going on?,greeting
Greetings and salutations!,greeting
Hi! how's your day?,greeting
Hello! friend!,greeting
Hey! how's it going?,greeting
Hi! nice to talk to you!,greeting
What do you want me to address you?, name
What should I call you?,name
May I know your name?,name
What's your preferred name?,name
Could you share your name with me?,name
Do you have a name you'd like me to use?,name
Tell me what do you go by?,name
I'd like to address you by name. What is it?,name
Is there a name you'd like me to refer to you as?,name
Please let me know how you'd like to be addressed.,name
Could you share the name you prefer?,name
How is your day going so far,date
How is Sunday going,date
How has your week been so far?,date
Any plans for this weekend?,date
Tell me about your experience on Monday.,date
What's your schedule for today?,date
How was your day on Tuesday?,date
Got any exciting plans for Friday night?,date
How's your Wednesday shaping up?,date
Tell me about your Thursday.,date
How's your weekend going?,date
Any special events planned for Sunday?,date
What are your thoughts on Saturday?,date
How was your experience on a past Monday?,date
Do you have any favorite days of the week?,date
Tell me about your activities last Sunday.,date
How did your Tuesday unfold?,date
I have to sign off,goodbye
I have to head out,goodbye
It was nice talking to you,goodbye
Time for me to go,goodbye
I'll catch you later,goodbye
Gotta run,goodbye
Until we meet again,goodbye
Take care,goodbye
I'm signing off for now,goodbye
See you soon,goodbye
Farewell for now,goodbye
It's time for me to say goodbye,goodbye
I'll talk to you later,goodbye
I'm off,goodbye
Until next time,goodbye
I'm saying my goodbyes,goodbye
How old are you?,age
May I inquire about your age?,age
Do you mind sharing your age?,age
Could you let me know how many years you've been around?,age
I'm curious what's your age?,age
Can you tell me your age?,age
What's the number of years you've lived so far?,age
I'd like to know your age if you don't mind sharing.,age
How many birthdays have you celebrated?,age
If you're comfortable could you share your age?,age
What's your age group?,age
Can you provide some insight into your age?,age
May I ask how old you are?,age
I'm interested in learning your age.,age
Could you disclose your age for me?,age
Thank you so much!,thanks
I appreciate your help!,thanks
Thanks a bunch!,thanks
Thanks a million!,thanks
Thanks a ton!,thanks
Thanks for your assistance!,thanks
I'm grateful for your support!,thanks
Many thanks!,thanks
Thank you very much!,thanks
Thanks a bunch for your time!,thanks
I want to express my gratitude!,thanks
A big thank you!,thanks
Thanks a lot!,thanks
I'm thankful for your help!,thanks
I owe you one,thanks
Can you help me with something?,help
I could use some assistance.,help
I'm stuck. Can you help?,help
I need your help.,help
Could you lend me a hand?,help
I'm looking for some guidance.,help
Can you assist me with this?,help
I could use your expertise.,help
Help me out please.,help
I'm in a bit of a pickle. Can you help?,help
I need some support. Can you help me?,help
Could you provide some assistance?,help
I'm struggling with this. Can you help me?,help
Can you offer some help?,help
I'm not sure what to do. Can you help?,help
Why did the scarecrow win an award? Because he was outstanding in his field!,jokes
Knock knock. Who's there? Lettuce. Lettuce who? Lettuce in it's cold out here!,jokes
Why don't scientists trust atoms? Because they make up everything!,jokes
What do you call fake spaghetti? An impasta!,jokes
Why did the bicycle fall over? Because it was two-tired!,jokes
What's orange and sounds like a parrot? A carrot!,jokes
